id,customer_id,gender,age
100000,336,M,43
100001,90,M,28
100002,203,F,32
100003,161,M,29
100004,287,M,34
100005,255,F,41
100006,212,M,44
100007,362,M,54
100008,9,F,29
100009,46,M,37
100010,251,M,29
100011,10,M,36
100012,71,M,40
100013,189,M,30
100014,176,F,53
100015,49,F,27
100016,234,F,52
100017,90,M,41
100018,158,F,37
100019,253,F,39
100020,23,F,45
100021,171,M,48
100022,318,M,38
100023,158,F,32
100024,332,M,35
100025,352,F,41
100026,316,F,42
100027,336,F,29
100028,260,M,26
100029,50,F,51
100030,170,M,30
100031,119,M,50
100032,135,M,51
100033,222,F,48
100034,187,M,43
100035,335,F,43
100036,236,M,37
100037,314,F,42
100038,318,M,49
100039,101,M,46
100040,217,M,48
100041,101,M,50
100042,55,F,28
100043,30,F,37
100044,53,M,25
100045,93,F,35
100046,290,M,30
100047,71,M,28
100048,108,M,29
100049,29,M,35
100050,242,F,28
100051,354,F,44
100052,248,M,41
100053,240,M,29
100054,128,M,31
100055,301,M,42
100056,351,M,39
100057,261,F,38
100058,244,M,26
100059,97,M,50
100060,219,M,34
100061,68,F,32
100062,229,M,48
100063,332,F,48
100064,117,M,43
100065,310,M,35
100066,37,F,45
100067,149,F,43
100068,82,F,52
100069,309,M,29
100070,350,F,29
100071,218,F,51
100072,59,M,26
100073,114,M,54
100074,192,M,28
100075,132,F,33
100076,251,M,28
100077,345,F,53
100078,216,F,40
100079,121,M,26
100080,350,F,35
100081,33,M,40
100082,220,F,50
100083,292,M,36
100084,221,M,50
100085,112,F,47
100086,198,F,41
100087,47,F,49
100088,224,F,49
100089,123,M,52
100090,331,F,42
100091,64,M,47
100092,330,M,48
100093,296,F,47
100094,151,M,53
100095,283,F,48
100096,319,F,38
100097,343,M,49
100098,225,M,26
100099,335,F,41
100100,354,M,40
100101,315,F,33
100102,34,F,27
100103,193,M,34
100104,214,M,27
100105,16,F,31
100106,262,M,52
100107,244,M,54
100108,99,M,35
100109,213,F,44
100110,208,M,50
100111,113,M,46
100112,137,F,33
100113,277,F,28
100114,115,M,27
100115,249,F,39
100116,35,M,41
100117,55,M,25
100118,100,F,53
100119,347,F,43
100120,329,M,51
100121,147,F,36
100122,282,M,32
100123,172,M,26
100124,288,F,33
100125,301,F,37
100126,162,F,39
100127,74,M,51
100128,82,M,51
100129,141,F,40
100130,48,M,49
100131,62,F,47
100132,156,M,29
100133,150,M,40
100134,296,M,33
100135,311,M,40
100136,352,M,39
100137,317,M,49
100138,195,F,43
100139,73,M,53
100140,235,F,37
100141,220,F,28
100142,158,M,50
100143,119,F,43
100144,41,F,52
100145,307,M,38
100146,336,M,33
100147,195,M,50
100148,244,F,33
100149,97,M,45
100150,63,M,26
100151,352,F,42
100152,67,F,25
100153,253,M,50
100154,167,M,28
100155,107,M,51
100156,286,M,51
100157,154,F,40
100158,173,F,28
100159,319,M,35
100160,222,F,43
100161,175,F,52
100162,5,F,38
100163,305,F,36
100164,14,M,39
100165,30,F,45
100166,320,F,34
100167,214,F,31
100168,205,M,42
100169,144,F,29
100170,231,F,33
100171,104,M,30
100172,50,M,45
100173,50,M,46
100174,62,F,34
100175,226,M,44
100176,183,F,42
100177,291,M,27
100178,264,F,33
100179,120,F,42
100180,219,F,42
100181,15,F,47
100182,219,M,32
100183,321,F,53
100184,128,F,39
100185,363,F,52
100186,120,M,39
100187,139,F,25
100188,143,F,45
100189,328,F,43
100190,260,F,34
100191,40,F,48
100192,81,M,29
100193,341,F,36
100194,148,M,32
100195,142,F,39
100196,200,M,27
100197,129,F,48
100198,352,M,40
100199,168,F,34
100200,277,M,46
100201,335,F,50
100202,187,F,45
100203,301,F,36
100204,240,M,31
100205,39,F,32
100206,55,F,53
100207,256,F,53
100208,6,M,47
100209,355,F,41
100210,270,M,46
100211,65,M,27
100212,201,M,33
100213,185,M,44
100214,83,M,43
100215,275,M,25
100216,176,F,51
100217,9,F,54
100218,256,M,27
100219,31,M,25
100220,234,M,50
100221,240,M,50
100222,125,F,27
100223,259,M,42
100224,117,F,38
100225,67,M,38
100226,255,M,49
100227,257,M,37
100228,262,M,35
100229,68,F,43
100230,132,M,37
100231,243,F,25
100232,209,F,29
100233,350,M,25
100234,227,M,30
100235,13,M,42
100236,262,F,48
100237,291,F,33
100238,225,F,42
100239,68,M,31
100240,270,M,46
100241,112,M,40
100242,151,F,45
100243,146,M,41
100244,218,F,50
100245,278,M,39
100246,23,F,46
100247,231,F,32
100248,202,F,28
100249,23,M,27
100250,360,F,48
100251,64,F,46
100252,148,M,25
100253,168,M,51
100254,309,F,32
100255,73,M,45
100256,268,M,25
100257,220,F,39
100258,177,F,52
100259,41,F,53
100260,298,F,48
100261,257,M,39
100262,328,F,51
100263,186,F,45
100264,355,M,52
100265,212,M,50
100266,249,M,39
100267,338,F,41
100268,131,F,28
100269,319,M,30
100270,168,M,25
100271,180,F,34
100272,319,F,27
100273,203,F,51
100274,99,M,46
100275,226,M,25
100276,305,M,50
100277,173,F,45
100278,359,M,43
100279,94,F,29
100280,358,F,47
100281,291,F,36
100282,188,F,27
100283,25,M,54
100284,131,M,25
100285,212,M,33
100286,175,F,54
100287,75,F,30
100288,239,F,35
100289,137,M,36
100290,308,M,48
100291,245,M,26
100292,26,F,46
100293,260,M,42
100294,207,M,48
100295,36,M,49
100296,257,M,37
100297,160,F,29
100298,303,F,30
100299,287,F,47
100300,296,F,25
100301,311,M,37
100302,277,M,32
100303,321,M,45
100304,13,F,46
100305,313,F,36
100306,338,M,35
100307,233,F,54
100308,252,F,36
100309,354,M,54
100310,172,F,38
100311,43,M,49
100312,349,M,51
100313,297,M,52
100314,183,F,28
100315,271,M,48
100316,114,F,36
100317,266,F,25
100318,192,M,50
100319,239,F,32
100320,162,M,46
100321,103,F,43
100322,295,F,47
100323,155,F,53
100324,336,F,44
100325,331,M,48
100326,202,M,42
100327,258,F,36
100328,147,F,35
100329,230,F,43
100330,37,M,32
100331,129,M,33
100332,14,F,48
100333,13,F,27
100334,80,F,53
100335,288,M,50
100336,213,F,36
100337,211,F,35
100338,104,M,33
100339,90,F,42
100340,127,F,46
100341,356,F,49
100342,242,F,25
100343,168,M,43
100344,106,F,38
100345,38,F,41
100346,142,M,36
100347,227,F,46
100348,8,M,42
100349,162,M,42
100350,30,M,53
100351,320,F,50
100352,312,F,50
100353,213,F,51
100354,31,F,25
100355,206,F,47
100356,216,M,32
100357,85,F,45
100358,45,M,25
100359,65,M,35
100360,306,F,48
100361,292,M,30
100362,198,F,36
100363,132,M,34
100364,118,M,35
100365,201,M,36
100366,118,M,36
100367,12,M,51
100368,145,F,48
100369,10,F,30
100370,5,M,30
100371,227,F,29
100372,334,F,28
100373,41,M,53
100374,93,F,36
100375,340,M,46
100376,23,M,52
100377,328,M,34
100378,26,F,52
100379,178,F,50
100380,71,F,26
100381,298,F,42
100382,297,M,31
100383,298,F,40
100384,314,F,46
100385,33,F,35
100386,313,M,33
100387,120,M,28
100388,180,F,33
100389,227,F,47
100390,338,M,54
100391,272,M,30
100392,301,M,51
100393,251,F,51
100394,333,F,41
100395,17,F,37
100396,168,F,35
100397,319,M,40
100398,340,F,49
100399,141,M,41
100400,278,F,34
100401,288,M,27
100402,293,F,41
100403,322,M,25
100404,349,F,25
100405,324,F,25
100406,321,M,27
100407,157,F,48
100408,359,F,48
100409,133,M,29
100410,200,F,35
100411,198,F,44
100412,57,F,39
100413,337,F,25
100414,38,F,48
100415,224,M,37
100416,212,F,30
100417,336,F,48
100418,28,M,49
100419,186,F,45
